scenario,agent,moves,start_x_m,start_y_m,start_heading_deg,goal_x_m,goal_y_m,goal_heading_deg
10_three_agent_swap_and_exit,0,True,0.3,0.5,90.0,1.0,0.5,270.0
10_three_agent_swap_and_exit,1,True,1.0,0.5,270.0,0.3,0.5,90.0
10_three_agent_swap_and_exit,2,True,1.7,0.5,90.0,2.1,0.2,180.0
11_three_agent_fast_cycle,0,True,2.1,0.2,180.0,1.3,0.8,180.0
11_three_agent_fast_cycle,1,True,0.5,0.8,0.0,2.1,0.2,180.0
11_three_agent_fast_cycle,2,True,2.1,0.8,180.0,0.3,0.5,90.0
12_one_agent_left_dock,0,True,0.3,0.5,90.0,0.5,0.2,0.0
12_one_agent_left_dock,1,False,1.3,0.8,180.0,1.3,0.8,180.0
12_one_agent_left_dock,2,False,2.3,0.5,270.0,2.3,0.5,270.0
13_one_agent_right_dock,0,True,2.1,0.8,180.0,2.3,0.5,270.0
13_one_agent_right_dock,1,False,1.2,0.5,135.0,1.2,0.5,135.0
13_one_agent_right_dock,2,False,0.5,0.2,0.0,0.5,0.2,0.0
14_one_agent_bottom_reverse,0,True,1.3,0.2,0.0,2.1,0.2,180.0
14_one_agent_bottom_reverse,1,False,0.5,0.5,45.0,0.5,0.5,45.0
14_one_agent_bottom_reverse,2,False,2.1,0.8,180.0,2.1,0.8,180.0
15_one_agent_top_transfer,0,True,2.3,0.5,270.0,1.3,0.8,180.0
15_one_agent_top_transfer,1,False,1.3,0.2,0.0,1.3,0.2,0.0
15_one_agent_top_transfer,2,False,0.3,0.5,90.0,0.3,0.5,90.0
16_one_agent_diagonal_goal,0,True,1.7,0.5,90.0,1.2,0.5,135.0
16_one_agent_diagonal_goal,1,False,0.5,0.2,0.0,0.5,0.2,0.0
16_one_agent_diagonal_goal,2,False,2.3,0.5,270.0,2.3,0.5,270.0
17_one_agent_diagonal_shift,0,True,0.5,0.5,45.0,1.2,0.5,135.0
17_one_agent_diagonal_shift,1,False,2.1,0.2,180.0,2.1,0.2,180.0
17_one_agent_diagonal_shift,2,False,2.1,0.8,180.0,2.1,0.8,180.0
18_one_agent_top_lane,0,True,0.5,0.8,0.0,1.3,0.8,180.0
18_one_agent_top_lane,1,False,0.5,0.2,0.0,0.5,0.2,0.0
18_one_agent_top_lane,2,False,2.1,0.2,180.0,2.1,0.2,180.0
19_two_agent_diverge,0,True,0.5,0.2,0.0,0.3,0.5,90.0
19_two_agent_diverge,1,True,2.3,0.5,270.0,1.3,0.2,0.0
19_two_agent_diverge,2,False,1.3,0.8,180.0,1.3,0.8,180.0
20_two_agent_center_exchange,0,True,1.3,0.2,0.0,1.7,0.5,90.0
20_two_agent_center_exchange,1,True,1.3,0.8,180.0,1.0,0.5,270.0
20_two_agent_center_exchange,2,False,0.3,0.5,90.0,0.3,0.5,90.0
21_two_agent_long_relocation,0,True,0.5,0.2,0.0,0.3,0.5,90.0
21_two_agent_long_relocation,1,True,2.1,0.2,180.0,2.3,0.5,270.0
21_two_agent_long_relocation,2,False,1.3,0.8,180.0,1.3,0.8,180.0
22_two_agent_vertical_top,0,True,1.0,0.5,270.0,0.3,0.5,90.0
22_two_agent_vertical_top,1,True,1.7,0.5,90.0,1.3,0.8,180.0
22_two_agent_vertical_top,2,False,2.3,0.5,270.0,2.3,0.5,270.0
23_two_agent_top_to_center,0,True,0.5,0.8,0.0,1.3,0.8,180.0
23_two_agent_top_to_center,1,True,2.3,0.5,270.0,0.3,0.5,90.0
23_two_agent_top_to_center,2,False,1.3,0.2,0.0,1.3,0.2,0.0
24_two_agent_top_swap,0,True,1.3,0.8,180.0,0.5,0.8,0.0
24_two_agent_top_swap,1,True,2.3,0.5,270.0,2.1,0.8,180.0
24_two_agent_top_swap,2,False,1.3,0.2,0.0,1.3,0.2,0.0
25_two_agent_cross_lane,0,True,0.5,0.2,0.0,1.0,0.5,270.0
25_two_agent_cross_lane,1,True,1.3,0.8,180.0,2.1,0.8,180.0
25_two_agent_cross_lane,2,False,2.1,0.2,180.0,2.1,0.2,180.0
26_three_agent_corner_relay,0,True,2.1,0.2,180.0,0.5,0.8,0.0
26_three_agent_corner_relay,1,True,2.1,0.8,180.0,2.1,0.2,180.0
26_three_agent_corner_relay,2,True,1.2,0.5,135.0,0.5,0.2,0.0
27_three_agent_compact_cycle,0,True,2.1,0.2,180.0,2.1,0.8,180.0
27_three_agent_compact_cycle,1,True,2.1,0.8,180.0,1.3,0.2,0.0
27_three_agent_compact_cycle,2,True,1.0,0.5,270.0,0.3,0.5,90.0
28_three_agent_center_swap,0,True,1.3,0.8,180.0,0.3,0.5,90.0
28_three_agent_center_swap,1,True,0.3,0.5,90.0,1.3,0.8,180.0
28_three_agent_center_swap,2,True,2.3,0.5,270.0,1.3,0.2,0.0
29_three_agent_lane_mix,0,True,0.5,0.2,0.0,2.1,0.2,180.0
29_three_agent_lane_mix,1,True,0.5,0.8,0.0,1.0,0.5,270.0
29_three_agent_lane_mix,2,True,1.7,0.5,90.0,2.1,0.8,180.0
30_three_agent_corner_cycle,0,True,2.1,0.2,180.0,2.1,0.8,180.0
30_three_agent_corner_cycle,1,True,2.1,0.8,180.0,0.5,0.8,0.0
30_three_agent_corner_cycle,2,True,1.0,0.5,270.0,2.1,0.2,180.0
